Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-39.67285156,-45.47119141,-45.77636719,-46.08154297,-52.18505859
0.100000001,-40.28320313,-45.77636719,-46.99707031,-45.77636719,-52.49023438
0.200000003,-41.19873047,-44.25048828,-46.69189453,-45.77636719,-51.87988281
0.300000012,-39.97802734,-47.60742188,-46.69189453,-46.08154297,-51.26953125
0.400000006,-40.58837891,-44.25048828,-47.30224609,-46.08154297,-50.65917969
0.5,-41.50390625,-46.08154297,-45.47119141,-46.99707031,-50.35400391
0.600000024,-40.28320313,-45.77636719,-46.69189453,-45.77636719,-49.43847656
0.699999988,-40.28320313,-44.55566406,-47.91259766,-46.38671875,-49.74365234
0.800000012,-41.19873047,-46.08154297,-46.38671875,-47.30224609,-50.65917969
0.899999976,-39.36767578,-44.86083984,-47.30224609,-46.99707031,-50.65917969
1,-40.89355469,-46.69189453,-45.47119141,-46.38671875,-49.74365234
1.100000024,-40.28320313,-45.77636719,-46.08154297,-45.47119141,-48.828125
1.200000048,-39.67285156,-45.47119141,-46.08154297,-46.69189453,-49.13330078
1.299999952,-40.28320313,-45.47119141,-46.08154297,-46.08154297,-48.52294922
1.399999976,-39.67285156,-44.86083984,-45.47119141,-45.77636719,-49.13330078
1.5,-40.28320313,-44.86083984,-46.38671875,-45.77636719,-49.74365234
1.600000024,-40.28320313,-45.77636719,-46.69189453,-46.08154297,-49.13330078
1.700000048,-39.67285156,-45.77636719,-47.30224609,-46.38671875,-48.21777344
1.799999952,-40.58837891,-44.25048828,-47.60742188,-45.77636719,-48.21777344
1.899999976,-39.0625,-45.47119141,-46.99707031,-46.99707031,-47.91259766
2,-40.28320313,-44.86083984,-47.91259766,-46.69189453,-48.52294922
2.099999905,-38.75732422,-46.69189453,-46.69189453,-46.69189453,-48.52294922
2.200000048,-39.97802734,-45.16601563,-47.30224609,-47.30224609,-47.30224609
2.299999952,-39.0625,-45.77636719,-48.21777344,-46.38671875,-47.91259766
2.400000095,-39.0625,-45.77636719,-47.30224609,-45.47119141,-48.21777344
2.5,-40.89355469,-45.16601563,-47.60742188,-46.08154297,-48.52294922
2.599999905,-39.36767578,-45.16601563,-46.08154297,-46.38671875,-46.69189453
2.700000048,-38.14697266,-44.86083984,-45.77636719,-46.08154297,-46.69189453
2.799999952,-39.0625,-44.55566406,-45.47119141,-46.08154297,-48.52294922
2.900000095,-39.97802734,-43.9453125,-46.08154297,-46.38671875,-48.21777344
3,-39.97802734,-44.86083984,-46.38671875,-44.86083984,-48.52294922
3.099999905,-38.14697266,-45.16601563,-46.38671875,-45.77636719,-46.69189453
3.200000048,-36.92626953,-44.55566406,-47.60742188,-46.69189453,-47.30224609
3.299999952,-25.63476563,-44.86083984,-46.38671875,-46.38671875,-46.69189453
3.400000095,-4.577636719,-44.55566406,-46.99707031,-45.16601563,-48.21777344
3.5,21.97265625,-45.16601563,-46.08154297,-45.47119141,-48.828125
3.599999905,22.88818359,-44.25048828,-45.47119141,-46.38671875,-46.99707031
3.700000048,4.8828125,-45.16601563,-46.38671875,-46.69189453,-47.30224609
3.799999952,-15.56396484,-45.77636719,-46.99707031,-46.69189453,-47.30224609
3.900000095,-34.1796875,-46.08154297,-46.99707031,-45.47119141,-49.13330078
4,-42.11425781,-46.38671875,-46.69189453,-45.16601563,-47.30224609
4.099999905,-47.91259766,-45.16601563,-46.38671875,-46.38671875,-46.69189453
4.199999809,-50.65917969,-45.47119141,-44.86083984,-46.08154297,-48.21777344
4.300000191,-52.79541016,-44.86083984,-46.08154297,-45.77636719,-48.21777344
4.400000095,-54.32128906,-44.55566406,-47.30224609,-46.38671875,-46.99707031
4.5,-54.01611328,-45.47119141,-46.08154297,-46.69189453,-46.08154297
4.599999905,-54.32128906,-45.77636719,-46.08154297,-45.16601563,-47.60742188
4.699999809,-52.79541016,-46.08154297,-45.16601563,-45.77636719,-46.99707031
4.800000191,-53.10058594,-45.47119141,-46.38671875,-45.47119141,-46.99707031
4.900000095,-50.96435547,-44.86083984,-46.69189453,-45.77636719,-48.52294922
5,-51.26953125,-45.16601563,-46.08154297,-45.47119141,-47.30224609
5.099999905,-51.26953125,-45.16601563,-46.38671875,-46.08154297,-47.30224609
5.199999809,-50.96435547,-45.77636719,-45.47119141,-46.08154297,-47.91259766
5.300000191,-51.57470703,-46.08154297,-46.38671875,-44.86083984,-47.60742188
5.400000095,-51.57470703,-45.77636719,-46.08154297,-46.69189453,-46.69189453
5.5,-51.57470703,-44.86083984,-46.38671875,-45.77636719,-47.91259766
5.599999905,-49.43847656,-44.55566406,-45.47119141,-45.16601563,-47.30224609
5.699999809,-49.13330078,-46.69189453,-46.69189453,-46.38671875,-46.99707031
5.800000191,-49.74365234,-45.47119141,-46.69189453,-46.38671875,-48.52294922
5.900000095,-49.74365234,-45.77636719,-45.16601563,-44.55566406,-46.99707031
6,-50.65917969,-44.86083984,-46.69189453,-46.99707031,-46.99707031
6.099999905,-50.04882813,-45.16601563,-45.77636719,-45.47119141,-47.30224609
6.199999809,-49.43847656,-45.77636719,-45.77636719,-45.16601563,-46.99707031
6.300000191,-48.828125,-45.16601563,-45.16601563,-46.38671875,-46.99707031
6.400000095,-48.52294922,-45.77636719,-47.30224609,-45.16601563,-47.60742188
6.5,-50.35400391,-45.16601563,-46.38671875,-46.08154297,-48.21777344
6.599999905,-49.74365234,-45.77636719,-45.47119141,-44.86083984,-47.91259766
6.699999809,-49.43847656,-45.16601563,-46.99707031,-46.08154297,-48.21777344
6.800000191,-48.828125,-45.16601563,-44.86083984,-45.77636719,-46.99707031
6.900000095,-48.21777344,-45.16601563,-47.30224609,-44.86083984,-48.21777344
7,-48.21777344,-45.16601563,-46.38671875,-46.08154297,-48.21777344
