Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-46.6918945313,-44.2504882813,-48.5229492188,-47.3022460938,-46.38671875
0.1000000015,-46.38671875,-45.7763671875,-46.38671875,-46.9970703125,-49.1333007813
0.200000003,-46.6918945313,-43.9453125,-48.2177734375,-49.4384765625,-46.38671875
0.3000000119,-46.38671875,-45.7763671875,-47.9125976563,-46.6918945313,-47.607421875
0.400000006,-46.0815429688,-43.3349609375,-47.3022460938,-48.5229492188,-46.9970703125
0.5,-44.5556640625,-40.8935546875,-47.607421875,-46.6918945313,-47.9125976563
0.6000000238,-46.38671875,-36.62109375,-46.0815429688,-47.9125976563,-45.4711914063
0.6999999881,-46.0815429688,-27.4658203125,-48.2177734375,-44.8608398438,-46.9970703125
0.8000000119,-46.0815429688,-10.986328125,-46.6918945313,-48.2177734375,-48.2177734375
0.8999999762,-44.8608398438,4.5776367188,-46.6918945313,-47.3022460938,-45.7763671875
1,-45.7763671875,8.544921875,-48.5229492188,-45.7763671875,-46.0815429688
1.1000000238,-44.8608398438,-2.1362304688,-46.9970703125,-47.607421875,-46.0815429688
1.2000000477,-45.4711914063,-15.869140625,-46.0815429688,-47.9125976563,-46.6918945313
1.2999999523,-44.5556640625,-27.7709960938,-46.6918945313,-47.3022460938,-47.607421875
1.3999999762,-46.0815429688,-35.400390625,-46.6918945313,-45.166015625,-46.9970703125
1.5,-44.8608398438,-41.1987304688,-46.6918945313,-46.0815429688,-46.9970703125
1.6000000238,-44.8608398438,-42.724609375,-47.3022460938,-46.6918945313,-46.38671875
1.7000000477,-43.3349609375,-44.5556640625,-47.9125976563,-45.166015625,-47.9125976563
1.7999999523,-43.3349609375,-46.9970703125,-47.607421875,-46.38671875,-46.6918945313
1.8999999762,-37.2314453125,-46.9970703125,-46.9970703125,-44.8608398438,-46.9970703125
2,-28.9916992188,-48.828125,-46.0815429688,-45.7763671875,-45.4711914063
2.0999999046,-11.9018554688,-48.5229492188,-46.0815429688,-45.4711914063,-45.4711914063
2.2000000477,5.1879882813,-49.1333007813,-46.38671875,-46.6918945313,-46.38671875
2.2999999523,6.4086914063,-49.1333007813,-46.0815429688,-47.9125976563,-45.4711914063
2.4000000954,-3.662109375,-49.4384765625,-46.38671875,-46.6918945313,-45.7763671875
2.5,-17.7001953125,-49.7436523438,-46.0815429688,-45.7763671875,-45.4711914063
2.5999999046,-28.9916992188,-48.5229492188,-46.38671875,-44.8608398438,-46.6918945313
2.7000000477,-36.9262695313,-50.3540039063,-45.4711914063,-44.8608398438,-47.3022460938
2.7999999523,-42.1142578125,-48.5229492188,-46.6918945313,-45.4711914063,-44.8608398438
2.9000000954,-43.6401367188,-49.1333007813,-44.8608398438,-45.7763671875,-45.166015625
3,-46.38671875,-47.607421875,-46.0815429688,-46.9970703125,-43.9453125
3.0999999046,-47.607421875,-47.3022460938,-46.6918945313,-46.0815429688,-46.38671875
3.2000000477,-47.9125976563,-49.1333007813,-46.38671875,-45.4711914063,-45.4711914063
3.2999999523,-48.828125,-47.607421875,-47.9125976563,-43.6401367188,-44.8608398438
3.4000000954,-49.4384765625,-48.828125,-46.6918945313,-40.283203125,-45.166015625
3.5,-50.9643554688,-48.2177734375,-47.607421875,-34.1796875,-45.166015625
3.5999999046,-50.3540039063,-47.9125976563,-45.7763671875,-25.0244140625,-46.9970703125
3.7000000477,-50.048828125,-46.6918945313,-46.0815429688,-4.8828125,-44.5556640625
3.7999999523,-48.828125,-46.38671875,-46.6918945313,8.544921875,-44.2504882813
