Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-45.77636719,-43.33496094,-42.11425781,-39.36767578,-41.19873047
0.100000001,-46.08154297,-44.25048828,-42.41943359,-39.36767578,-41.50390625
0.200000003,-45.77636719,-43.33496094,-40.89355469,-37.84179688,-41.19873047
0.300000012,-45.77636719,-43.02978516,-40.89355469,-39.67285156,-41.50390625
0.400000006,-44.86083984,-43.64013672,-41.50390625,-36.92626953,-41.19873047
0.5,-45.16601563,-45.16601563,-41.50390625,-38.75732422,-40.28320313
0.600000024,-45.16601563,-43.9453125,-41.80908203,-39.36767578,-41.50390625
0.699999988,-44.25048828,-43.9453125,-42.41943359,-38.45214844,-41.80908203
0.800000012,-44.86083984,-43.9453125,-42.41943359,-38.45214844,-39.67285156
0.899999976,-44.55566406,-43.9453125,-42.72460938,-36.92626953,-41.80908203
1,-44.86083984,-41.50390625,-42.72460938,-37.23144531,-41.80908203
1.100000024,-43.64013672,-42.72460938,-43.02978516,-37.53662109,-40.28320313
1.200000048,-44.25048828,-42.41943359,-42.41943359,-37.53662109,-39.97802734
1.299999952,-46.08154297,-41.19873047,-42.72460938,-37.53662109,-40.58837891
1.399999976,-45.47119141,-41.50390625,-42.72460938,-37.84179688,-41.80908203
1.5,-44.86083984,-41.80908203,-42.41943359,-38.14697266,-40.58837891
1.600000024,-45.16601563,-43.9453125,-42.41943359,-36.92626953,-41.80908203
1.700000048,-45.47119141,-43.33496094,-40.89355469,-38.45214844,-40.89355469
1.799999952,-43.9453125,-42.11425781,-41.19873047,-38.45214844,-42.11425781
1.899999976,-43.64013672,-42.41943359,-40.58837891,-38.14697266,-41.19873047
2,-44.25048828,-40.89355469,-40.58837891,-37.23144531,-41.50390625
2.099999905,-43.33496094,-41.80908203,-41.19873047,-37.23144531,-41.19873047
2.200000048,-44.55566406,-42.41943359,-42.11425781,-36.31591797,-42.11425781
2.299999952,-45.47119141,-42.41943359,-41.80908203,-36.01074219,-40.89355469
2.400000095,-45.77636719,-41.19873047,-40.89355469,-35.70556641,-41.80908203
2.5,-44.86083984,-41.19873047,-40.58837891,-35.09521484,-41.19873047
2.599999905,-44.25048828,-41.80908203,-39.97802734,-36.31591797,-40.28320313
2.700000048,-44.86083984,-43.02978516,-41.50390625,-36.92626953,-40.28320313
2.799999952,-43.9453125,-42.11425781,-42.11425781,-35.40039063,-39.97802734
2.900000095,-45.16601563,-40.58837891,-40.28320313,-35.70556641,-40.28320313
3,-45.16601563,-40.89355469,-39.36767578,-34.48486328,-39.97802734
3.099999905,-44.86083984,-42.41943359,-40.28320313,-34.48486328,-41.19873047
3.200000048,-43.64013672,-42.41943359,-42.11425781,-35.70556641,-42.11425781
3.299999952,-43.9453125,-41.19873047,-40.89355469,-35.40039063,-42.11425781
3.400000095,-45.16601563,-41.50390625,-40.28320313,-34.1796875,-41.80908203
3.5,-45.16601563,-43.02978516,-39.97802734,-33.26416016,-41.50390625
3.599999905,-45.16601563,-41.19873047,-41.50390625,-35.40039063,-41.19873047
3.700000048,-43.9453125,-40.89355469,-40.89355469,-35.40039063,-42.41943359
3.799999952,-43.9453125,-42.41943359,-39.97802734,-34.1796875,-43.9453125
3.900000095,-44.55566406,-42.72460938,-40.89355469,-32.65380859,-42.11425781
4,-46.38671875,-41.80908203,-40.89355469,-33.26416016,-41.80908203
4.099999905,-44.86083984,-41.50390625,-40.89355469,-31.73828125,-42.11425781
4.199999809,-43.33496094,-42.72460938,-39.0625,-21.66748047,-42.72460938
4.300000191,-44.86083984,-40.89355469,-40.28320313,-4.577636719,-43.64013672
4.400000095,-45.77636719,-40.28320313,-41.80908203,1.220703125,-42.72460938
4.5,-44.55566406,-42.11425781,-39.97802734,-6.408691406,-42.41943359
4.599999905,-43.64013672,-41.19873047,-40.28320313,-16.47949219,-43.33496094
4.699999809,-44.86083984,-41.80908203,-41.50390625,-25.93994141,-43.9453125
4.800000191,-45.16601563,-42.11425781,-39.0625,-33.87451172,-43.33496094
4.900000095,-43.33496094,-40.89355469,-39.36767578,-37.23144531,-42.41943359
5,-44.25048828,-41.19873047,-41.50390625,-39.0625,-43.02978516
5.099999905,-45.16601563,-41.50390625,-40.28320313,-43.64013672,-43.9453125
5.199999809,-43.64013672,-40.58837891,-39.36767578,-44.55566406,-43.33496094
5.300000191,-43.64013672,-42.41943359,-41.19873047,-43.9453125,-42.41943359
5.400000095,-45.16601563,-41.19873047,-39.36767578,-45.77636719,-43.33496094
5.5,-44.25048828,-40.58837891,-39.97802734,-45.77636719,-43.64013672
5.599999905,-43.9453125,-41.80908203,-39.36767578,-44.86083984,-41.80908203
5.699999809,-46.08154297,-39.67285156,-39.36767578,-46.99707031,-42.41943359
5.800000191,-43.9453125,-41.80908203,-40.58837891,-44.86083984,-43.64013672
5.900000095,-43.9453125,-41.19873047,-38.75732422,-44.86083984,-42.11425781
6,-45.47119141,-41.19873047,-40.28320313,-46.69189453,-42.41943359
6.099999905,-43.02978516,-41.50390625,-39.97802734,-43.9453125,-44.25048828
6.199999809,-45.16601563,-40.58837891,-39.67285156,-44.86083984,-41.80908203
6.300000191,-43.9453125,-41.50390625,-39.97802734,-45.77636719,-42.41943359
6.400000095,-43.33496094,-39.36767578,-38.14697266,-44.25048828,-43.64013672
6.5,-45.16601563,-42.11425781,-40.89355469,-45.77636719,-42.11425781
6.599999905,-42.41943359,-40.28320313,-39.0625,-43.33496094,-42.72460938
6.699999809,-44.25048828,-42.11425781,-39.67285156,-45.16601563,-43.9453125
6.800000191,-44.55566406,-39.67285156,-39.0625,-45.16601563,-43.02978516
6.900000095,-43.64013672,-41.80908203,-39.36767578,-43.9453125,-43.02978516
7,-44.25048828,-39.67285156,-39.36767578,-45.47119141,-42.72460938
7.099999905,-43.33496094,-41.50390625,-38.75732422,-43.33496094,-42.41943359
7.199999809,-44.55566406,-39.67285156,-40.58837891,-46.38671875,-43.33496094
7.300000191,-44.25048828,-41.80908203,-39.36767578,-44.25048828,-41.19873047
7.400000095,-44.25048828,-39.67285156,-40.28320313,-45.16601563,-43.33496094
7.5,-45.47119141,-41.50390625,-38.14697266,-43.64013672,-42.41943359
7.599999905,-44.25048828,-39.97802734,-39.0625,-45.77636719,-43.02978516
7.699999809,-43.33496094,-42.11425781,-38.45214844,-44.25048828,-42.72460938
7.800000191,-43.9453125,-40.58837891,-39.67285156,-46.08154297,-41.50390625
7.900000095,-43.64013672,-40.58837891,-39.36767578,-43.9453125,-43.02978516
8,-43.9453125,-42.11425781,-39.36767578,-45.47119141,-40.58837891
8.100000381,-45.16601563,-41.80908203,-38.14697266,-44.55566406,-43.64013672
8.199999809,-44.55566406,-39.67285156,-39.97802734,-45.77636719,-41.50390625
8.300000191,-44.55566406,-39.0625,-38.14697266,-43.64013672,-43.02978516
8.399999619,-43.02978516,-39.0625,-38.14697266,-45.16601563,-41.19873047
8.5,-43.02978516,-38.75732422,-39.67285156,-43.33496094,-43.02978516
8.600000381,-43.02978516,-38.45214844,-39.36767578,-44.86083984,-40.89355469
8.699999809,-43.02978516,-40.28320313,-38.75732422,-45.16601563,-43.02978516
8.800000191,-43.33496094,-39.97802734,-37.53662109,-43.02978516,-42.72460938
8.899999619,-43.33496094,-39.0625,-37.84179688,-45.16601563,-42.72460938
9,-43.02978516,-39.97802734,-37.84179688,-45.77636719,-41.50390625
9.100000381,-43.64013672,-39.67285156,-37.53662109,-44.25048828,-42.11425781
9.199999809,-44.25048828,-39.67285156,-36.92626953,-43.33496094,-42.41943359
9.300000191,-42.72460938,-40.89355469,-38.45214844,-42.72460938,-40.89355469
9.399999619,-43.64013672,-41.19873047,-37.23144531,-43.02978516,-42.11425781
9.5,-42.72460938,-40.58837891,-37.84179688,-43.02978516,-42.72460938
9.600000381,-42.41943359,-40.89355469,-38.14697266,-43.33496094,-42.11425781
9.699999809,-43.02978516,-39.97802734,-37.84179688,-43.33496094,-41.19873047
9.800000191,-43.02978516,-39.67285156,-37.84179688,-43.9453125,-41.19873047
9.899999619,-42.72460938,-39.0625,-38.45214844,-43.9453125,-41.50390625
10,-43.02978516,-39.0625,-38.45214844,-43.64013672,-40.58837891
10.10000038,-43.33496094,-40.58837891,-39.67285156,-43.33496094,-40.89355469
10.19999981,-44.25048828,-39.97802734,-38.75732422,-42.72460938,-41.19873047
10.30000019,-44.25048828,-40.58837891,-38.14697266,-44.25048828,-41.19873047
10.39999962,-43.64013672,-39.97802734,-37.23144531,-45.47119141,-40.89355469
10.5,-43.64013672,-39.67285156,-37.23144531,-45.47119141,-40.89355469
10.60000038,-43.33496094,-38.75732422,-37.23144531,-44.55566406,-40.89355469
10.69999981,-42.41943359,-40.58837891,-38.14697266,-43.33496094,-40.28320313
10.80000019,-42.41943359,-41.50390625,-38.75732422,-42.72460938,-40.58837891
10.89999962,-43.02978516,-39.67285156,-38.14697266,-42.41943359,-40.28320313
11,-43.64013672,-38.75732422,-36.62109375,-43.64013672,-41.19873047
11.10000038,-44.25048828,-39.0625,-36.62109375,-45.47119141,-41.80908203
11.19999981,-42.41943359,-39.67285156,-37.23144531,-45.16601563,-42.11425781
11.30000019,-42.41943359,-40.28320313,-38.45214844,-44.25048828,-42.41943359
11.39999962,-42.11425781,-38.75732422,-37.23144531,-43.64013672,-41.50390625
11.5,-42.41943359,-38.75732422,-36.62109375,-43.33496094,-40.89355469
11.60000038,-44.55566406,-39.97802734,-36.62109375,-44.25048828,-40.58837891
11.69999981,-44.25048828,-40.58837891,-37.84179688,-44.55566406,-41.19873047
11.80000019,-44.25048828,-39.0625,-37.23144531,-44.55566406,-41.19873047
11.89999962,-42.11425781,-38.75732422,-36.01074219,-43.02978516,-42.41943359
12,-41.80908203,-40.58837891,-36.01074219,-43.02978516,-41.50390625
12.10000038,-43.02978516,-39.0625,-37.23144531,-44.55566406,-40.58837891
12.19999981,-44.86083984,-38.75732422,-37.23144531,-45.16601563,-40.58837891
12.30000019,-43.02978516,-39.67285156,-35.70556641,-43.02978516,-40.89355469
12.39999962,-42.11425781,-41.19873047,-34.48486328,-43.02978516,-41.80908203
12.5,-42.72460938,-38.75732422,-36.92626953,-44.86083984,-41.19873047
12.60000038,-43.64013672,-38.75732422,-36.31591797,-44.25048828,-39.67285156
12.69999981,-43.02978516,-41.50390625,-35.09521484,-42.72460938,-40.28320313
