Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-52.49023438,-50.65917969,-53.40576172,-55.23681641,-53.7109375
0.100000001,-51.26953125,-53.7109375,-53.40576172,-53.7109375,-55.23681641
0.200000003,-52.18505859,-52.18505859,-52.49023438,-55.23681641,-52.49023438
0.300000012,-52.49023438,-53.10058594,-53.10058594,-52.49023438,-55.23681641
0.400000006,-50.65917969,-51.57470703,-52.18505859,-54.93164063,-53.10058594
0.5,-52.49023438,-51.87988281,-52.49023438,-52.18505859,-54.62646484
0.600000024,-52.49023438,-52.18505859,-51.57470703,-54.32128906,-54.93164063
0.699999988,-51.26953125,-50.96435547,-52.49023438,-53.10058594,-53.40576172
0.800000012,-51.26953125,-52.18505859,-52.79541016,-54.62646484,-55.23681641
0.899999976,-51.26953125,-51.57470703,-51.87988281,-53.7109375,-52.49023438
1,-51.26953125,-52.79541016,-51.57470703,-54.01611328,-54.32128906
1.100000024,-52.49023438,-51.26953125,-52.18505859,-53.7109375,-52.79541016
1.200000048,-51.87988281,-51.57470703,-52.49023438,-52.79541016,-54.01611328
1.299999952,-50.96435547,-50.04882813,-50.65917969,-53.7109375,-53.7109375
1.399999976,-52.18505859,-51.26953125,-51.57470703,-53.40576172,-54.62646484
1.5,-50.65917969,-50.04882813,-52.18505859,-53.7109375,-52.49023438
1.600000024,-51.87988281,-49.74365234,-52.79541016,-53.10058594,-53.7109375
1.700000048,-52.18505859,-42.41943359,-51.57470703,-54.01611328,-53.40576172
1.799999952,-50.96435547,-37.23144531,-52.18505859,-53.10058594,-53.10058594
1.899999976,-51.87988281,-28.68652344,-50.65917969,-52.79541016,-52.79541016
2,-50.65917969,-14.95361328,-50.65917969,-52.18505859,-54.32128906
2.099999905,-52.18505859,4.8828125,-51.57470703,-53.7109375,-53.7109375
2.200000048,-50.65917969,8.544921875,-51.87988281,-52.18505859,-54.32128906
2.299999952,-51.57470703,-8.544921875,-52.49023438,-54.93164063,-53.10058594
2.400000095,-50.96435547,-25.93994141,-50.65917969,-53.40576172,-53.10058594
2.5,-52.79541016,-40.58837891,-52.49023438,-52.18505859,-52.79541016
2.599999905,-50.65917969,-47.60742188,-50.35400391,-52.18505859,-52.49023438
2.700000048,-52.18505859,-51.26953125,-51.87988281,-52.79541016,-53.40576172
